Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,International,Unknown,Illinois,Non-Illinois,Academic Program Code
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,3996 ,EIEd: French ,3,0,3,0,3,0,0,0,0,0,0,3,0,10KN3996BS
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,3997 ,EIEd: German ,2,0,2,0,2,0,0,0,0,0,0,2,0,10KN3997BS
120048 ,KN ,613 ,BS ,0095 ,Elementary Education ,4004 ,EIEd: Spanish ,46,1,45,0,37,4,0,5,0,0,0,46,0,10KN4004BS
120048 ,KN ,613 ,EDD ,0095 ,Elementary Education ,  ,  ,34,5,29,0,8,1,3,1,0,20,1,10,24,10KS0095EDD
120048 ,KN ,613 ,EDD ,0215 ,Secondary & Continuing Educ ,  ,  ,45,16,29,0,12,1,4,1,0,25,2,15,30,10KS0215EDD
120048 ,KN ,613 ,EDM ,0094 ,Early Childhood Education ,0212 ,Teacher Certification ,2,0,2,0,2,0,0,0,0,0,0,2,0,10KS0212EDM
120048 ,KN ,613 ,EDM ,0095 ,Elementary Education ,  ,  ,36,2,34,0,27,1,1,2,0,3,2,33,3,10KS0095EDM
120048 ,KN ,613 ,EDM ,0095 ,Elementary Education ,0211 ,Elementary Ed - Cert ,22,4,18,0,14,3,4,1,0,0,0,22,0,10KS0211EDM
120048 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,  ,  ,20,5,15,0,12,2,2,0,0,4,0,15,5,10KS0215EDM
120048 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KS0215EDMX
120048 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,0216 ,English Certification ,8,3,5,0,7,1,0,0,0,0,0,8,0,10KS0216EDM
120048 ,KN ,613 ,EDM ,0215 ,Secondary & Continuing Educ ,0217 ,Social Studies Certification ,5,3,2,0,3,1,0,0,0,0,1,5,0,10KS0217EDM
