Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,Academic Program Code
120118 ,KM ,346 ,MS ,5187 ,Taxation ,  ,  ,21,6,15,0,12,2,0,2,0,0,0,4,1,0,0,13,8,10KS5187MSK2
120118 ,KM ,346 ,PHD ,0071 ,Accountancy ,  ,  ,21,11,10,0,13,0,0,1,0,0,1,6,0,0,1,5,16,10KS0071PHD
120118 ,KM ,902 ,BS ,0079 ,Business Administration ,0081 ,Organizational Administration ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KM0081BS
120118 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,103,40,63,0,57,13,11,9,0,0,1,10,2,12,0,83,20,10KM1432BS
120118 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,102,32,70,0,72,6,7,15,0,0,1,1,0,7,0,91,11,10KM8037BS
120118 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,19,15,4,0,12,3,0,2,0,0,0,2,0,0,0,14,5,10KM5070BS
120118 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,16,13,3,0,9,5,0,1,0,0,0,1,0,0,0,13,3,10KM8037BS
120118 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,20,10,10,0,15,4,0,0,0,0,0,0,1,0,0,18,2,10KM5071BS
120118 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,30,17,13,0,24,2,0,1,0,0,0,3,0,0,0,26,4,10KM8037BS
120118 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,20,14,6,0,16,1,0,1,0,0,0,2,0,0,0,15,5,10KM5072BS
120118 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,11,4,7,0,9,0,1,1,0,0,0,0,0,1,0,10,1,10KM8037BS
120118 ,KM ,902 ,BS ,5073 ,Management ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KM5073BS
120118 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,25,17,8,0,17,3,1,3,0,0,0,1,0,1,0,22,3,10KM5073BS
